"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"HeroAssange","Julian Assange Supporter. #Trump2020 #MAGA #Unity4J #PardonAssange #ReconnectJulian FB @Scaramucci",12644,30176,10539,27689,NA,"Hero Assange 🇺🇸",2010-11-14 21:07:50,FALSE,FALSE,"HeroAssange","United States","en","215762606",74,FALSE,"http://pbs.twimg.com/profile_images/1022928308785295360/BlwCUH4I_normal.jpg"
"KRaZiKiLLeTTe","We DoNT eVeR Die aLoNe, JuGGaLoS WiLL CaRRy oN,
SWiNG ouR HaTCheTS iF We MuST, eaCH aND eVeRyoNe oF uS!🎈
#JADV #TeamDead #DCF  #EliteJuggalo #SV #CPK #QArmy",106104,3438,77380,1764,"https://t.co/BKQknAmbyU","🎈KRaZiKiLLeTTe🎪",2010-12-21 05:53:42,FALSE,FALSE,"KRaZiKiLLeTTe","here, there... everywhere ","en","228979057",81,FALSE,"http://pbs.twimg.com/profile_images/1017309015309598721/NWfe0Yd9_normal.jpg"
"LvrCoffee","'Merica! This crazy place is falling apart....#MAGA #walkaway",1578,120,1026,203,NA,"Coffee_Lvr 🇺🇸🍪🍺",2018-06-04 23:31:17,FALSE,FALSE,"LvrCoffee","Wakanda","en","1003781265617645568",5,FALSE,"http://pbs.twimg.com/profile_images/1014607523205115904/bHaMA8gu_normal.jpg"
"Patrici41859934","Love my President Trump, Q follower, EyeTheSpy, Conservative, Anti-Vax, my daughter is vaccine injured, Autism!",8083,549,19206,722,NA,"❌Patryh62  ❌",2016-12-07 13:18:32,FALSE,FALSE,"Patrici41859934","","en","806488061299294208",1,FALSE,"http://pbs.twimg.com/profile_images/1031221032491921408/-fpTgsRt_normal.jpg"
"RobertH09778996","",16477,402,23552,300,NA,"Robert Hendricks",2017-12-18 02:57:09,FALSE,FALSE,"RobertH09778996","","en","942589523330043904",1,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"SoarForFreedom","FAMILY OF Loyals W/BIG AMERICAN DREAMS-WE BELIEVE! HAPPINESS IS:Luv,Laughs,Health,Truth,ourMAGIC ourMUSIC,USA & ALL WHO PROTECT OUR FREEDOM!(&LISTS=BLOCK!)TY",36857,2148,102948,2121,NA,"NY Nite Owl",2016-05-04 02:59:09,FALSE,FALSE,"SoarForFreedom","East Coast","en","727694022274338816",51,FALSE,"http://pbs.twimg.com/profile_images/727698016690421760/1UaIxf8H_normal.jpg"
"SYMMETRY_11","#Music #Art , #Poetry, and #Photography.  #God #Maga #kag #Conservative #Christian",43258,1978,42190,4443,"https://t.co/zNySTvkcCp","SYMMETRY_11",2008-12-27 04:48:04,FALSE,FALSE,"SYMMETRY_11","hillsborough,nj","en","18402557",13,FALSE,"http://pbs.twimg.com/profile_images/68690731/12123_49116060_normal.jpg"
"VanWalker67","TRUMP 2020. #MAGA LOVE PRESIDENT TRUMP 🇺🇸🇺🇸classic films. reading. Major dog lover. ""You want a true friend. get a dog"". . ✡️🇺🇸🇺🇸. VERY PRO ISRAEL 🇮🇱",13221,7024,13536,3982,"https://t.co/xANi1sDH8X","Rick F.",2009-08-08 21:11:04,FALSE,FALSE,"VanWalker67"," florida","en","64042965",24,FALSE,"http://pbs.twimg.com/profile_images/2928347555/7796c2e8cab8607e3497921ec8a22a88_normal.jpeg"
"YnotDebPauly","#Conservative activist in #California, #USAF veteran #Patriot #Warrior former councilwoman, #OCGOP rep CA 68th Assembly, #2A, servant of the Lord #MAGA #VetsROC",6108,3464,2231,2987,"https://t.co/KZVX4joAeY","Deborah Pauly",2009-08-27 23:14:11,FALSE,FALSE,"YnotDebPauly","Southern California","en","69435537",114,FALSE,"http://pbs.twimg.com/profile_images/989624601901649920/2cNrZzWv_normal.jpg"
"Cat_00005","#TRUMP, #TrumpTrain, #MAGA, #TrumpWins4USA",111549,2982,106360,4993,NA,"Kat5🐼🇺🇸",2016-04-29 19:55:59,FALSE,FALSE,"Cat_00005","","en","726137975264825345",30,FALSE,"http://pbs.twimg.com/profile_images/794593636373565440/3PpYDdFu_normal.jpg"
"CJC28756315","JESUS~LORD,SAVIOR*MAGNIFICENT HUSBAND,FAMILY❣️PRES TRUMP GETGO❣️#TRUMP2020🚰SWAMP 🌎! #MAGA🇺🇸#WIN🍬Cook PRO:LIFE#ISRAEL#NRA❤️Q&🌪🙏🏻🚫ELCA🚫PC🚫MSM🚫LIBS🚫PP",127887,18644,118282,20421,NA,"CJC  ❤️”Q” & MY PRESIDENT-DONALD J TRUMP💯%❣️ ❌❌",2017-02-08 03:24:02,FALSE,FALSE,"CJC28756315","United States","en","829168884582334464",21,FALSE,"http://pbs.twimg.com/profile_images/858009624552800256/qZzXhHBL_normal.jpg"
"DoneRightPro","Without darkness, how do you know what is light?
Light defines darkness by light’s absence.
What is truth?
What is trust?
...spreading information of others.",5733,212,3582,240,NA,"The WORLD NEEDS to KNOW ❌ Information ❌ What is..?",2018-01-02 01:20:37,FALSE,FALSE,"DoneRightPro","Growing up in AMERICA with outside insight - spreading information for a better TRUTH FUTURE","en","948001045929648128",0,FALSE,"http://pbs.twimg.com/profile_images/969989018422145024/E1cpyjGN_normal.jpg"
"IMHO1969","Conservative & engaged on fiscal, economic and national security issues; Liberal, but apathetic on social issues",6922,103,272,464,NA,"InMyHumbleOpinion",2011-06-13 23:31:10,FALSE,FALSE,"IMHO1969","","en","316779601",11,FALSE,"http://pbs.twimg.com/profile_images/1402845888/Father_Daughter_Dance_-_2011_normal.JPG"
"Jackmeh04461964","🇺🇸🇺🇸 a patriot huge 45 supporter MAGA#KAG!",5469,241,457,500,NA,"Jack mehoff",2018-01-24 21:20:26,FALSE,FALSE,"Jackmeh04461964","","en","956275524502020100",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"JaniceAFrank1","",16636,153,11200,77,NA,"Janice A Frank",2017-12-08 18:23:47,FALSE,FALSE,"JaniceAFrank1","","en","939198837297688576",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"LeeanneMAGA","Wife,mother✝️   Daughter of Navy Vet🇺🇸 ,  Family in Law enforcement❤️#MAGA#NAVY#BLUELIVESMATTER #GreatAwakening #Q #QAnon  #WWG1WGA#WhoISQ",31512,1375,34347,1810,NA,"Leeanne#MAGA",2012-09-10 01:54:14,FALSE,FALSE,"LeeanneMAGA","","en","814267292",5,FALSE,"http://pbs.twimg.com/profile_images/1038577667287797760/-axcdiUC_normal.jpg"
"LibsloveGibs","Fuck @jack Dorsey.",2243,1063,1554,2180,"https://t.co/kJO6Xt9fQx","❌Liberal=Mental Illness❌🇺🇸🇨🇦",2018-06-25 15:23:59,FALSE,FALSE,"LibsloveGibs","North Korea","en","1011268778284539905",1,FALSE,"http://pbs.twimg.com/profile_images/1027206729631768576/GF1yueil_normal.jpg"
"Tasukram","",1596,39,313,63,NA,"Tasukram ♫",2011-05-29 21:09:22,FALSE,FALSE,"Tasukram","","de","307553541",2,FALSE,"http://pbs.twimg.com/profile_images/1405032035/pix_normal.jpg"
"antypynky55","Our country is in crisis under the worst prez ever. I will stand with the #resistance groups. I will work in my community to promote dems.I wll blk uppity R's",30620,5925,103132,6002,NA,"Dede 🇺🇸 #boycottNRA",2010-12-07 03:40:27,FALSE,FALSE,"antypynky55","Southern California","en","223710359",17,FALSE,"http://pbs.twimg.com/profile_images/1024489370198323202/VlRt_nrr_normal.jpg"
